"","statefp","name","state_name","LON","LAT"
"1","39","Pike","Ohio",-83.0676958401887,-83.0676958401887
"2","46","Aurora","South Dakota",-98.5605057741495,-98.5605057741495
"3","55","Eau Claire","Wisconsin",-91.2860918338675,-91.2860918338675
"4","72","Vega Baja","Puerto Rico",-66.3984006199638,-66.3984006199638
"5","48","Kendall","Texas",-98.7113595569444,-98.7113595569444
"6","40","Caddo","Oklahoma",-98.3753446383431,-98.3753446383431
"7","19","Ida","Iowa",-95.5135538709593,-95.5135538709593
"8","28","Lafayette","Mississippi",-89.4849096100213,-89.4849096100213
"9","12","DeSoto","Florida",-81.8094137338018,-81.8094137338018
"10","31","Phelps","Nebraska",-99.4146511261406,-99.4146511261406
"11","26","Roscommon","Michigan",-84.6106765131234,-84.6106765131234
"12","16","Payette","Idaho",-116.764769452754,-116.764769452754
"13","45","Spartanburg","South Carolina",-81.9922598374195,-81.9922598374195
"14","36","Cattaraugus","New York",-78.6791855599306,-78.6791855599306
"15","18","Dubois","Indiana",-86.8792477189316,-86.8792477189316
"16","19","Palo Alto","Iowa",-94.6782462095756,-94.6782462095756
"17","20","Woodson","Kansas",-95.740062765968,-95.740062765968
"18","26","Calhoun","Michigan",-85.0049356948373,-85.0049356948373
"19","31","Kearney","Nebraska",-98.9487718230601,-98.9487718230601
"20","40","Washita","Oklahoma",-98.9918043376825,-98.9918043376825
"21","46","Hamlin","South Dakota",-97.1882959341076,-97.1882959341076
"22","72","San Lorenzo","Puerto Rico",-65.9773279321615,-65.9773279321615
"23","48","Coke","Texas",-100.529753342497,-100.529753342497
"24","72","Barranquitas","Puerto Rico",-66.3059954610051,-66.3059954610051
"25","20","Sherman","Kansas",-101.719762376931,-101.719762376931
"26","29","Harrison","Missouri",-93.9922214400473,-93.9922214400473
"27","40","Sequoyah","Oklahoma",-94.7546378504257,-94.7546378504257
"28","08","Douglas","Colorado",-104.930000983712,-104.930000983712
"29","18","Hancock","Indiana",-85.7756635063312,-85.7756635063312
"30","19","Black Hawk","Iowa",-92.3052472889796,-92.3052472889796
"31","22","Lincoln","Louisiana",-92.6659741004817,-92.6659741004817
"32","29","Lafayette","Missouri",-93.784217661216,-93.784217661216
"33","39","Fayette","Ohio",-83.4562016045466,-83.4562016045466
"34","48","Frio","Texas",-99.1080420740075,-99.1080420740075
"35","48","Terry","Texas",-102.335452059945,-102.335452059945
"36","72","Guaynabo","Puerto Rico",-66.1145279493716,-66.1145279493716
"37","56","Platte","Wyoming",-104.966330992427,-104.966330992427
"38","19","Jasper","Iowa",-93.0556778530206,-93.0556778530206
"39","20","Cowley","Kansas",-96.8377664736901,-96.8377664736901
"40","38","Griggs","North Dakota",-98.2385092519204,-98.2385092519204
"41","22","Caldwell","Louisiana",-92.1195247086799,-92.1195247086799
"42","27","Carlton","Minnesota",-92.6760101908632,-92.6760101908632
"43","18","LaGrange","Indiana",-85.4267423176359,-85.4267423176359
"44","20","Wyandotte","Kansas",-94.763782591746,-94.763782591746
"45","19","Worth","Iowa",-93.2608760250097,-93.2608760250097
"46","31","Perkins","Nebraska",-101.650294181336,-101.650294181336
"47","08","Phillips","Colorado",-102.357770278624,-102.357770278624
"48","29","Andrew","Missouri",-94.8016302389919,-94.8016302389919
"49","36","Wayne","New York",-77.0291293639335,-77.0291293639335
"50","36","Orange","New York",-74.3024075683676,-74.3024075683676
"51","13","Madison","Georgia",-83.2121711767995,-83.2121711767995
"52","31","Saline","Nebraska",-97.1408505138114,-97.1408505138114
"53","17","Jefferson","Illinois",-88.924002500728,-88.924002500728
"54","19","Floyd","Iowa",-92.7894009726139,-92.7894009726139
"55","19","Keokuk","Iowa",-92.1785066990132,-92.1785066990132
"56","31","Polk","Nebraska",-97.5663071236469,-97.5663071236469
"57","20","Ness","Kansas",-99.9154733266334,-99.9154733266334
"58","27","Ramsey","Minnesota",-93.0987185199256,-93.0987185199256
"59","29","Benton","Missouri",-93.2875611628871,-93.2875611628871
"60","42","Cambria","Pennsylvania",-78.7137742778049,-78.7137742778049
"61","48","Carson","Texas",-101.354266934399,-101.354266934399
"62","72","Camuy","Puerto Rico",-66.8593076207165,-66.8593076207165
"63","51","Appomattox","Virginia",-78.8114500836043,-78.8114500836043
"64","51","Williamsburg","Virginia",-76.7058946208331,-76.7058946208331
"65","48","Schleicher","Texas",-100.538484243503,-100.538484243503
"66","19","Boone","Iowa",-93.9313999512839,-93.9313999512839
"67","28","Lauderdale","Mississippi",-88.6622966227461,-88.6622966227461
"68","21","Caldwell","Kentucky",-87.8694821435863,-87.8694821435863
"69","48","Castro","Texas",-102.261724266117,-102.261724266117
"70","28","Prentiss","Mississippi",-88.5198629388197,-88.5198629388197
"71","20","Wilson","Kansas",-95.7432325542969,-95.7432325542969
"72","20","McPherson","Kansas",-97.6476986895473,-97.6476986895473
"73","31","Sherman","Nebraska",-98.9758864227948,-98.9758864227948
"74","17","Cumberland","Illinois",-88.2401157955775,-88.2401157955775
"75","05","Columbia","Arkansas",-93.2264279254356,-93.2264279254356
"76","06","San Francisco","California",-122.438567196073,-122.438567196073
"77","21","Allen","Kentucky",-86.1945754402655,-86.1945754402655
"78","36","Chemung","New York",-76.7638804997857,-76.7638804997857
"79","46","Minnehaha","South Dakota",-96.7910885044836,-96.7910885044836
